Port_Label,Q1 2006_Index_Average_Q1_2023__100_Value,Q2 2006_Index_Average_Q1_2023__100_Value,Q3 2006_Index_Average_Q1_2023__100_Value,Q4 2006_Index_Average_Q1_2023__100_Value,Q1 2007_Index_Average_Q1_2023__100_Value,Q2 2007_Index_Average_Q1_2023__100_Value,Q3 2007_Index_Average_Q1_2023__100_Value,Q4 2007_Index_Average_Q1_2023__100_Value,Q1 2008_Index_Average_Q1_2023__100_Value,Q2 2008_Index_Average_Q1_2023__100_Value,Q3 2008_Index_Average_Q1_2023__100_Value,Q4 2008_Index_Average_Q1_2023__100_Value,Q1 2009_Index_Average_Q1_2023__100_Value,Q2 2009_Index_Average_Q1_2023__100_Value,Q3 2009_Index_Average_Q1_2023__100_Value,Q4 2009_Index_Average_Q1_2023__100_Value,Q1 2010_Index_Average_Q1_2023__100_Value,Q2 2010_Index_Average_Q1_2023__100_Value,Q3 2010_Index_Average_Q1_2023__100_Value,Q4 2010_Index_Average_Q1_2023__100_Value,Q1 2011_Index_Average_Q1_2023__100_Value,Q2 2011_Index_Average_Q1_2023__100_Value,Q3 2011_Index_Average_Q1_2023__100_Value,Q4 2011_Index_Average_Q1_2023__100_Value,Q1 2012_Index_Average_Q1_2023__100_Value,Q2 2012_Index_Average_Q1_2023__100_Value,Q3 2012_Index_Average_Q1_2023__100_Value,Q4 2012_Index_Average_Q1_2023__100_Value,Q1 2013_Index_Average_Q1_2023__100_Value,Q2 2013_Index_Average_Q1_2023__100_Value,Q3 2013_Index_Average_Q1_2023__100_Value,Q4 2013_Index_Average_Q1_2023__100_Value,Q1 2014_Index_Average_Q1_2023__100_Value,Q2 2014_Index_Average_Q1_2023__100_Value,Q3 2014_Index_Average_Q1_2023__100_Value,Q4 2014_Index_Average_Q1_2023__100_Value,Q1 2015_Index_Average_Q1_2023__100_Value,Q2 2015_Index_Average_Q1_2023__100_Value,Q3 2015_Index_Average_Q1_2023__100_Value,Q4 2015_Index_Average_Q1_2023__100_Value,Q1 2016_Index_Average_Q1_2023__100_Value,Q2 2016_Index_Average_Q1_2023__100_Value,Q3 2016_Index_Average_Q1_2023__100_Value,Q4 2016_Index_Average_Q1_2023__100_Value,Q1 2017_Index_Average_Q1_2023__100_Value,Q2 2017_Index_Average_Q1_2023__100_Value,Q3 2017_Index_Average_Q1_2023__100_Value,Q4 2017_Index_Average_Q1_2023__100_Value,Q1 2018_Index_Average_Q1_2023__100_Value,Q2 2018_Index_Average_Q1_2023__100_Value,Q3 2018_Index_Average_Q1_2023__100_Value,Q4 2018_Index_Average_Q1_2023__100_Value,Q1 2019_Index_Average_Q1_2023__100_Value,Q2 2019_Index_Average_Q1_2023__100_Value,Q3 2019_Index_Average_Q1_2023__100_Value,Q4 2019_Index_Average_Q1_2023__100_Value,Q1 2020_Index_Average_Q1_2023__100_Value,Q2 2020_Index_Average_Q1_2023__100_Value,Q3 2020_Index_Average_Q1_2023__100_Value,Q4 2020_Index_Average_Q1_2023__100_Value,Q1 2021_Index_Average_Q1_2023__100_Value,Q2 2021_Index_Average_Q1_2023__100_Value,Q3 2021_Index_Average_Q1_2023__100_Value,Q4 2021_Index_Average_Q1_2023__100_Value,Q1 2022_Index_Average_Q1_2023__100_Value,Q2 2022_Index_Average_Q1_2023__100_Value,Q3 2022_Index_Average_Q1_2023__100_Value,Q4 2022_Index_Average_Q1_2023__100_Value,Q1 2023_Index_Average_Q1_2023__100_Value,Q2 2023_Index_Average_Q1_2023__100_Value,Q3 2023_Index_Average_Q1_2023__100_Value,Q4 2023_Index_Average_Q1_2023__100_Value,Q1 2024_Index_Average_Q1_2023__100_Value,Q2 2024_Index_Average_Q1_2023__100_Value,Q3 2024_Index_Average_Q1_2023__100_Value,Q4 2024_Index_Average_Q1_2023__100_Value,Q1 2025_Index_Average_Q1_2023__100_Value,Q2 2025_Index_Average_Q1_2023__100_Value,Q3 2025_Index_Average_Q1_2023__100_Value,Q4 2025_Index_Average_Q1_2023__100_Value,Q1 2026_Index_Average_Q1_2023__100_Value,Q2 2026_Index_Average_Q1_2023__100_Value
"China, Yantian",563.3,589.36,591.57,580.3,575.55,621.29,627.06,628.86,621.75,647.42,641.15,615.46,557.09,582.87,634.02,603.81,580.55,647,686.52,726.57,706.31,813.59,807.5,773.05,740.15,710.83,750.44,763.87,727.97,736.12,727.18,732.08,699.55,702.56,713.4,691.76,721.53,707.24,725.6,702.43,716.55,724,726.67,712.5,703.56,764.94,784.33,780.46,763.14,784.11,781.99,777.48,736.73,708.03,715.76,717.7,710.14,693.04,730.51,765.58,804,830.47,815.02,816.67,794.31,800.03,827.55,816.11,784.58,783.68,786.82,780.42,790.26,778.78,823.82,837.67,839.26,809.44,816.65,811.03,811.27,795.38
"China, Yingkou",49.07,49.07,49.07,47.99,47.99,57.8,55.22,49.97,51.92,43.89,44.51,45.44,41.7,49.38,62.48,61.84,63.14,63.14,65.76,67.36,80.06,59.78,66.84,68.11,92.15,104.11,102.2,100.29,105.17,107.2,110.95,112.82,105.75,100.56,100.56,109.68,99.84,91.02,92.2,96.29,96.25,74.32,77.38,84.39,84.83,84.83,79.65,78.48,88.1,95.99,97.28,99.99,109.94,107.58,105.9,113.18,117.81,117.81,117.47,113.23,113.23,119.45,101.51,98.25,99.46,101.43,93.08,94.06,94.79,101.32,98.07,97.59,97.54,104.04,96.53,96.53,96.53,98.45,98.45,98.45,98.45,98.45
"China, Zha Pu",,,,,,,,,,,,,,,,,,,,,,11.55,11.55,11.55,11.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China, Zhangjiagang",27.73,20.57,20.57,20.57,20.57,20.57,20.57,20.57,27.71,27.71,39.58,39.61,28.48,28.62,38.13,38.13,38.13,39.1,39.1,39.17,45.68,45.67,45.78,45.78,45.78,51.67,51.67,51.67,51.71,41.06,41.06,41.06,41.06,41.06,41.06,39.39,39.39,39.39,39.39,39.39,39.39,39.39,39.39,39.39,39.39,39.39,46.65,50.72,50.72,50.72,50.72,50.72,50.72,50.72,50.72,50.72,50.72,50.72,56.61,56.61,57.23,52.15,52.15,55.67,49.15,49.15,49.15,49.15,49.15,49.15,49.15,49.15,49.15,49.22,49.28,49.28,49.28,49.28,49.3,49.3,49.3,49.3
"China, Zhangzhou",,,,,,,,14.5,14.5,16.16,16.16,17.35,17.5,14.54,25.28,25.51,35.81,35.81,25.51,24,25.53,25.53,22.32,22.18,22.32,38.14,38.14,50.78,41.75,33.19,33.19,33.19,25.37,25.38,25.38,25.38,25.38,27.12,27.12,43.6,43.55,40.39,37.85,37.96,32.87,32.87,25.64,25.64,25.64,39.15,39.15,29.12,43.39,43.39,26.26,26.27,33.83,33.83,33.82,33.82,33.82,33.82,23.82,26.39,34.97,34.97,21.09,21.09,21.09,29.84,29.84,24.85,24.41,24.56,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99
"China, Zhanjiang",9.72,9.72,9.72,9.72,9.72,14.21,14.21,14.21,23.35,20.14,20.14,21.65,21.67,25.73,22.33,11.85,9.33,9.33,9.33,9.33,9.33,24,24,26.55,18.74,25.05,25.05,22.49,22.49,22.49,23.01,23.65,37.43,44.29,44.29,44.32,62.59,63.89,74.88,74.87,65.2,64.41,61.82,65.24,76.09,79.27,82.22,75.3,83.7,85.72,85.19,83.29,75.02,75.02,72.24,78.25,82.87,82.9,66.72,66.72,59.54,59.43,46.73,60.13,58.87,68.93,64.48,67.73,67.75,61.2,62.06,65.57,74.2,74.1,74.02,74.02,74.11,65.53,65.53,65.68,64.35,64.53
"China, Zhapu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.78,13.78,13.78,,,,,,,,,,,,,,,,,,,,,,,,,,20.66,20.66,20.66,9.53,,,,,16.95,16.99,43.54,45.65,56.16
"China, Zhenjiang",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.46,17.1,17.1,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.64,11.64,11.64,11.64,11.64,11.64,11.64,11.64,11.64,11.64,11.64,11.64,11.64,11.64,11.64
"China, Zhousan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.04,15.04,15.04,15.04,27.68,20.69,20.69,37.17,20.87,20.87,20.88,20.88,20.88,20.88,20.88,28.33,28.33,28.16,28.16
"China, Zhuhai",,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.92,10.92,10.92,31.18,31.38,24.49,24.49,24.49,46.71,47.17,50.38,50.38,43.7,60.89,58.32,62.92,64.37,73.43,62.37,62.32,68.6,85.38,93.16,81.5,81.55,80.92,79.63,79.63,69.38,69.38,51.23,58.37,58.37,55.48,48.18,41.36,47.44,32.08,32.08,40.2,40.2,40.2,40.2,40.2,74.96,74.9,66.14,66.14,66.14,66.14,67.17,67.17,67.17,67.17
"Christmas Island, Flying Fish Cove",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.28,8.28,,,,,,7.42,7.42,7.42,7.42,7.42,7.42,7.42,7.42,7.42,7.42,7.42,7.42,7.42,7.42,7.42,7.42,7.42,7.42,7.42,7.42,7.42,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.08,9.08,9.08,9.08,9.08,9.08,9.08,9.08,9.08
"Cocos (Keeling) Islands, Port Refuge",6.44,6.44,6.44,6.44,6.44,6.44,6.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Colombia, Barranquilla",91.14,85.63,86.3,78.77,76.92,76.92,71.17,75.28,82.8,91.04,95.86,97.57,104.9,100.65,107.4,108.29,108.26,108.27,115.98,115.54,112.23,104.8,105.83,102.46,109.44,95.67,84.96,94.6,104.93,101.56,101.53,98.72,92.82,98.91,108.36,108.36,108.56,117.94,112.12,105.29,105.37,120.03,137.2,108.53,104.92,106.79,113.83,113.21,104.15,106.88,108,108,103.82,107.38,108.82,85.47,91.79,91.86,92.2,78.33,78.33,78.33,78.49,74.62,82.56,81.92,81.94,77.14,83.94,75.87,68.92,62.59,81.44,82.13,75.81,75.81,75.96,75.98,69.57,71.03,77.93,63.08
"Colombia, Buenaventura",157.06,165.63,152.5,144.46,139.63,139.18,145.47,152.44,150.96,136.48,158.35,161.74,165.43,164.22,160.85,161.3,160.47,156.59,174.07,179.75,173.82,178.19,173.54,171.03,167.99,170.11,159.06,162.83,168.02,177.7,174.5,168.99,156.33,179.4,183.82,183.31,185.61,186.46,221.95,232.89,216.69,216.72,219.27,212.36,212.17,210.69,216.16,216.76,217.23,220.13,194.41,183.52,189.11,190.37,182.45,184.79,182.95,179.04,175.99,183.3,181.02,185.12,193.68,192.37,183.38,189.67,204.68,209.29,213.3,220.59,225.03,218.4,228.55,228.61,242.06,240.31,236.78,248.06,245.78,243.43,235.07,217.48
"Colombia, Cartagena (CO)",244.86,258.85,234.21,231.97,207.36,238.69,247.72,267.37,265.63,263.36,267.13,267.26,291.5,310.12,302.5,276.51,279.25,286.54,295.45,292.23,303.93,293.81,285.19,272.39,287.8,280.51,273.76,285.09,287.71,274.63,299.49,287.95,292.1,283.93,292.76,296.8,309.2,302.67,293.77,306.06,321.22,332.69,348.47,327.82,322.02,321.14,322.63,321.95,316.35,321.54,306.1,316,319.92,320.59,355.71,339.48,314.81,339.95,345.02,357.36,359.72,349.3,350.22,339.58,342.58,342.38,324.83,329.22,356.46,349.71,336.83,348.56,351.78,360.99,359.71,362.44,371.2,386.48,393.1,405,411.69,413.09
"Colombia, Leticia",,,,,,,,,,,,,,,,,,,,,,,,,,,,10.27,10.27,10.27,10.27,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2
"Colombia, Puerto Bolivar (CO)",,,,,,,,,,,,,,,,,,,,,,,,,,,,8.48,22.96,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,,,9.69,22.42,22.42,9.69,9.69,9.69,28.98,28.98,29.58,29.6,10.62,10.6,10.33,10.33,,,15.31,15.31,15.31,15.89,15.64,14.37,14.27,15.51,,,,,,,,,,,,,,,
"Colombia, San Andres",,,,,,,,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.86,8.23,8.23,8.23,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.65,8.65,8.44,8.44,8.44,8.44,8.44,8.44,8.44,8.44,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,7.81
"Colombia, Santa Marta",92.35,99.81,92.13,87.26,96.87,97.55,96.4,95.15,101.4,101.96,80.78,81.44,80.93,87.09,87.75,87.75,74.52,88.1,87.57,87.64,75.64,75.65,82.03,87.86,98.19,97.22,101.95,91.49,97.08,87.48,93.07,100.35,102.85,101.04,101.68,95.87,96.53,96.92,96.92,108.83,103.47,115.75,113.28,95.12,93.35,93.31,94.59,102.28,99.04,94.55,96.82,94.27,105,110.47,137.17,118.31,120.97,114.35,114.58,109.5,110.13,109.55,117.08,122.59,113.25,108.75,108.75,108.75,115.35,109.26,110.29,109.46,124.24,116.87,110.55,110.55,110.65,110.67,107.66,102.49,119.83,114.28
"Colombia, Tolu",,,,,,,,,,,,,,,,,,,,,,,,,,,,10.27,10.27,10.27,10.27,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2
"Colombia, Turbo",,,,,,,,,11.15,11.15,11.15,11.15,11.15,21.5,21.5,21.5,21.5,21.5,21.5,28.56,28.56,28.56,28.56,28.56,28.56,28.56,36.27,29.81,29.81,34.16,34.16,27.22,27.22,19.98,19.98,19.98,53.06,74.84,74.21,66.01,69.61,82.31,91.78,81.78,93,92.36,92.36,93.1,87.95,100.53,101.74,100.47,88.8,88.8,75.08,82.75,74.02,75.23,76.03,75.37,75.37,75.49,65.3,60.53,75.42,71.35,71.35,71.35,70.76,70.76,70.76,70.12,76.38,76.61,74.03,73.8,73.8,73.8,67.52,64.44,120.67,117.8
"Comoros, Moroni",,,,,,,,,,,,,,,,8.4,7.49,16.58,19.61,24.62,24.62,24.1,24.1,24.1,24.1,27.84,27.84,27.84,36.75,31.56,31.65,31.98,31.98,31.98,39.57,37.99,37.99,37.99,37.99,38.96,37.06,36.67,37.93,37.66,30.76,30.14,30.07,30.07,30.07,29.52,29.5,30.47,32.82,33.26,33.26,33.26,37.34,36.27,30.52,28.42,28.43,28.43,24.07,24.04,18.35,17.79,17.79,20.42,20.74,27.18,16.81,20.48,20.48,22.05,16.06,16.06,16.72,16.72,16.72,16.72,16.72,16.72
"Comoros, Mutsamudu",25.32,22.73,23.79,25.01,25.03,25.03,24.55,24.55,10.41,10.41,10.41,10.41,22.76,26.95,37.18,30.49,24.16,24.16,38.59,42.12,40.15,43.75,43.75,43.75,43.75,44.12,44.12,43.79,43.16,38.61,38.7,39.03,39.03,39.03,39.03,43.76,43.76,43.76,43.76,44.11,44.11,43.72,43.71,37.66,30.76,30.14,30.07,33.17,33.17,32.63,32.61,34.2,36.56,37,37,37,41.07,40.01,34.26,32.16,32.16,32.16,28.45,28.41,22.72,22.16,22.17,24.79,25.11,25.11,22.57,25.72,25.72,25.73,25.73,25.73,25.73,25.73,25.73,25.73,25.73,26.23
"Congo, Pointe Noire",111.01,121.6,117.02,120.32,115.57,124.02,125,135.7,143.3,149.81,149.52,149.66,142.06,143.36,126.68,126.24,104.93,108.25,107.34,115.55,125.15,143.94,142.24,137.86,139.49,143.69,163.96,150.71,153.81,156.02,167.09,166.17,173.13,168.63,167.62,158.03,158.2,152.31,153.37,143.76,155.51,169.23,166.13,168.35,179.07,178.42,175.75,168.01,162.75,158.71,152.88,146.56,142.93,158.15,157.62,163.11,169.16,169.68,172.29,158.8,150.77,139.85,139.84,139.64,129.88,126.99,127.81,136.71,182.56,186.63,188.03,195.87,201.19,206.8,190.45,192.62,204.73,188.47,179.41,198,200.59,200.01
"Cook Islands, Aitutaki",,,,,,,,,,,,,,,,,,,,,,,,,,,,7.82,9.09,8.46,16.33,16.33,16.33,16.33,16.33,16.33,16.33,16.33,16.33,16.97,16.97,11.37,11.19,11.19,11.2,11.2,11.2,11.2,11.2,11.03,11.2,11.2,11.2,11.2,11.2,11.2,14.79,14.79,14.79,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,11.9,11.9,11.9,11.9,11.9,11.96,11.96,11.96,11.96,11.96,11.96,11.96,11.96,11.96
"Cook Islands, Rarotonga",6.12,6.12,6.12,6.12,6.12,6.12,6.12,,,8.74,8.74,6.8,6.8,6.8,12.5,12.5,12.5,12.5,13.23,13.23,13.23,13.23,13.23,13.23,13.23,13.23,13.23,26.48,18.76,18.13,23.45,23.45,23.45,23.45,23.45,23.45,23.45,23.45,23.45,24.09,24.09,17.31,16.49,16.49,16.5,16.5,16.5,16.5,16.5,16.33,16.5,16.5,16.5,16.5,16.5,16.5,19.45,19.45,19.45,20.05,20.05,20.05,20.05,20.05,20.05,20.05,20.05,20.05,16.57,16.57,16.57,16.57,16.57,16.63,16.63,16.63,16.63,16.63,16.63,16.63,16.63,16.63
"Costa Rica, Caldera",54.87,62.41,65.93,65.99,66.22,75.44,75.54,69.65,72.61,78.09,71.14,65.73,68.32,66.28,49.52,47.74,50.06,58.8,71.54,65.04,67.25,38.38,42.22,51.71,51.71,48.73,49.36,45.6,42.74,42.38,42.13,30.96,30.96,30.96,46.38,46.4,46.4,37.28,37.28,37.28,38.01,45.25,46.11,45.7,28.38,28.38,50.6,50.6,50.6,50.6,62.48,62.48,61.84,61.84,61.84,64.59,56.74,56.74,58.88,54,54,60.23,57.63,58.81,62.11,62.17,59.99,59.99,57.48,65.83,66.27,70.67,73.31,70.26,70.74,71.05,77.71,71.21,73.63,73.54,65.31,65.31
"Costa Rica, Limon",167.4,165.88,169.49,173.58,171.99,160.04,156.34,159.54,168.68,151.78,145.34,160.55,186.92,198.83,207.62,200.47,208.07,205.17,210.03,205.97,210.22,212.96,202.56,199.27,208.66,197.53,202.18,193.96,196.82,195.5,197.92,202.99,199.99,196.78,199.38,193.36,177.98,192.52,198.6,193.28,190.86,166.88,176.32,159.34,156.35,143.11,139.26,132.27,137.21,132.75,143.6,144.22,130.85,131.02,135.49,117.18,109.56,109.58,109.62,110.08,110.62,110.62,110.66,101.73,101.71,127.19,110.58,110.54,123.52,117.66,82.55,82.56,82.74,82.77,84.26,85.33,85.17,84.85,72.59,75.31,60.29,60.69
"Costa Rica, Moin",,,,,24.49,24.49,35.13,31.65,31.72,40.19,40.19,40.53,19.98,20.61,20.61,20.61,19.98,29.13,23.7,23.7,11.17,11.17,26.94,27.03,44.36,36.66,40.82,41.47,40.67,48.8,48.8,47.9,47.9,50.45,55.55,55.55,56.62,43.76,44.4,53.88,53.25,68.2,79.72,78.06,82.43,103.47,103.45,111.76,94.88,88.99,67.31,67.31,80.14,80.12,105.18,120.92,128.67,126.14,142.38,142.64,138.16,134.26,118.66,118.04,112.33,113.25,114.11,113.98,113.92,118.84,153.07,150.55,127.69,157.16,147.15,151.1,144.56,149.59,145.19,138.74,147.46,147.71
"Cote d'Ivoire, Abidjan",179.82,190.63,196.25,190.1,181.68,165.42,162.71,173.67,187.97,199.72,215.71,207.9,218.67,217.13,218.95,215.54,220.46,228.06,240.92,225.87,233.88,216.01,200.75,213.49,173.48,179.76,197.84,189.38,200.09,208.79,202,203.57,196.87,209.05,206.12,199.24,188.64,209.87,200.02,190.67,175.56,175.18,169.04,166.04,164.78,155.32,153.38,139.18,138.88,134.96,137.55,140.34,130.14,128.35,136.2,138.98,138.81,137.99,147.23,154.35,158.46,159.82,159.59,145.2,152.42,151.3,146.93,196.16,201.37,221.08,231.55,230,226.57,234.83,226.59,232.29,260.77,301.75,305.59,308.23,315.53,337.64
"Cote d'Ivoire, San Pedro (CI)",69.35,63.56,63.27,69.76,61.36,60.57,58.74,54.45,55.04,53.76,53.73,52.78,63.78,74.07,57.88,57.25,68.22,70.07,60.28,55.18,55.18,37.74,42.91,51.58,41.84,28.93,33.14,56.15,65.97,52.84,48.1,58.16,63.43,74.94,68.68,77.35,71.96,68.3,74.37,72.15,74.84,76.68,73.4,79.65,72.49,72.82,69.17,80.26,78.73,78.75,81.21,73.55,70.89,70.81,72.31,81.17,78.81,77.45,80.36,70.41,72.42,74.4,74.07,72.49,73.27,72.44,72.67,73.56,47.11,47.03,43.53,43.54,49.29,52.66,50.92,35.72,36.61,35.64,45.01,56.25,75.51,57.36
"Croatia, Ploce",14.22,14.22,14.22,14.28,14.28,14.28,14.28,14.28,14.28,7.69,33.17,36.74,43.95,43,35.21,29.06,34.06,22.18,22.18,22.19,20.02,20.02,22.13,12.92,22.08,21.47,35.39,27.65,24.86,26.3,26.3,25.5,25.32,24.68,25.27,22.69,22.69,21.42,21.39,14.06,14.69,14.69,12.82,20.19,20.11,20.11,27.07,24.55,24.55,21.97,22.34,22.51,21.98,21.98,25.23,24.59,24.53,24.51,23.92,23.92,21.03,21.03,20.62,20.61,19.98,20.13,21.2,21.2,21.21,20.8,20.8,23.34,22.41,21.24,21.24,21.24,21.24,23.11,23.07,30.09,30.09,30.07
"Croatia, Rijeka",66.22,72.9,74.55,73.69,87.3,84.72,82.82,89.77,90.9,77.12,80.26,88.97,79.34,41.09,37.55,73.56,80.92,80.75,94.95,107.25,107.37,106.94,89.92,97.15,95.45,104.58,99.06,98.77,100.77,100.68,96.34,96.77,96.26,103.48,103.61,89.32,106.19,104.6,104.76,116.78,117.86,118.6,111.73,126.66,119.66,132.62,123.79,119.97,120.45,122.92,122.82,121.6,122.18,130.47,131.68,131.72,129.18,126.37,136.66,129.8,129.4,129.42,129.1,129.49,129.56,124.25,136.55,136.9,120.41,123.46,125,124.13,128.62,127.01,126.58,124.2,118.8,127.07,127.38,129.29,122.75,130.95
"Croatia, Split",,,,,,,,,,9.73,18.85,24.29,24.29,22.47,20.54,21.17,26.67,13.18,13.18,13.18,13.82,13.82,13.1,12.89,12.89,12.89,26.5,18.7,18,19.44,19.44,27.66,28.29,27.02,27.62,25.03,25.03,23.76,23.73,23.73,24.36,24.36,22.48,21.41,20.11,20.11,28.67,26.14,26.14,23.99,14.92,14.92,15.19,15.19,14.37,13.71,13.65,13.02,13.16,13.16,12.77,12.77,12.76,12.47,12.47,,,,,,,,,,,,,,,,,
"Croatia, Zadar",,,,,,,,,,9.73,9.73,9.73,9.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cuba, Havana",76.69,75.97,74.44,75.29,75.35,75.08,84.13,83.37,83.21,69.64,67.33,74.33,76.2,67.38,67.47,63.02,61.46,58.97,65.14,65.18,65.68,55.51,70.59,70.59,71.89,71.99,78.58,72.37,67.32,67.36,72.38,71.77,72.09,60.64,40.04,40.04,40.04,9.97,9.97,9.97,9.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cuba, Mariel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.86,37.11,36.87,42.57,61.47,61.47,69.62,69.08,85.25,80.24,88.7,81.06,72.98,72.98,73.1,75.76,65.68,52.65,52.69,52.87,52.16,51.1,50.97,50.03,55.09,54.57,54.62,54.62,48.97,49.16,49.16,51.01,51.58,51.52,49.65,48.11,54.85,54.21,50.21,50.99,51.03,51.67,52.23,52.23,51.92,61.15,63.9,59.32,59.32
"Cuba, Moa",10.87,10.87,10.87,10.87,10.91,10.91,10.91,14.2,14.2,14.2,14.18,14.18,14.18,10.86,10.86,10.86,10.86,10.86,14.04,14.04,14.2,13.59,13.59,13.59,13.59,13.59,11.81,11.81,11.81,11.81,11.81,11.81,13.08,13.08,12.45,12.45,12.45,12.43,12.43,12.43,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.11,13.41,14.04,13.49,13.49,13.49,13.49,12.85,12.85,12.85,12.85,12.85,12.85,12.76,12.76,12.76,12.94,12.94,13.32,13.32,13.32,13.32,13.32,13.32,13.32,13.32,13.32
"Cuba, Santiago",8.5,10.86,22.72,24.15,30.2,28.77,17.36,26.14,26.14,21.59,21.59,21.15,21.15,20.54,20.54,20.54,20.54,20.54,26.36,26.41,27.09,17.11,17.11,17.11,17.11,17.11,26.7,20.87,20.87,20.87,20.7,20.7,20.7,19.2,28.25,28.01,28.01,19.49,19.49,34.86,35.02,46.17,39.28,39.28,15.24,15.24,15.24,15.24,15.35,15.36,33.69,23.94,24.1,24.95,23.95,11.42,21.6,18.66,17.8,18.83,18.83,11.42,13.69,13.69,13.69,10.64,15.49,15.49,15.49,11.52,11.52,11.52,11.99,12.01,12.01,12.01,12.01,12.01,12.01,12.85,,
"Curacao, Willemstad",85.88,79.68,76.23,76.3,70.96,70.98,70.97,71,79.39,77.06,82.25,82.46,76.33,76.09,78.03,59.88,60.18,60.18,60.18,58.29,67.25,66.44,67.1,78.28,79.19,78.29,83.78,86.03,82.9,79.41,79.36,79.4,72,67.45,75.86,78.31,76.4,75.86,77.1,82.8,82.9,84.66,82.71,70.56,52.8,52.8,54.07,63.42,64.08,70.24,69.4,68.77,70.96,75.78,76.61,52.19,59.47,59.43,58.38,67.81,68.44,67.72,58.17,47,58.77,58.13,55.77,52.31,52.57,52.57,50.4,54.53,46.71,64.55,60.68,60.07,51.94,51.96,51.18,51.18,51.18,43.58
"Cyprus, Famagusta",,,,,,,,,,,,,,,,,,,10.58,10.58,13.54,13.54,17.35,16.7,33.37,30.82,18.75,33.29,31.48,31.48,30.41,12.88,14.82,14.82,12.85,12.85,,,,,18.96,18.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.91,10.91
"Cyprus, Limassol",139.44,137.71,139.15,142.51,147.64,140.54,138.81,162.7,162.75,156.17,143.93,137.65,150.53,146.36,167.61,163.75,153.17,158.4,159.71,158.1,149.55,150.02,145.69,135.21,138.03,147.22,151.99,141.66,127.85,130.23,119.39,123.84,112.44,104.03,108.49,109.13,117.68,114.41,111.3,112.74,128.91,125.49,125,125.23,125.01,105.33,113.48,113.79,112.96,120.53,120.53,122.71,134.91,131.38,131.43,140.84,135.88,135.93,127.08,124.46,125.81,113.17,109.67,121.2,107.13,95.83,103.13,105.55,116.31,138.98,132.18,118.39,124.31,126.93,129.93,120.13,124.38,123.85,122.5,126.24,149.84,150.02
