Economy_Label,1948_US_at_current_prices_in_millions_Value,1949_US_at_current_prices_in_millions_Value,1950_US_at_current_prices_in_millions_Value,1951_US_at_current_prices_in_millions_Value,1952_US_at_current_prices_in_millions_Value,1953_US_at_current_prices_in_millions_Value,1954_US_at_current_prices_in_millions_Value,1955_US_at_current_prices_in_millions_Value,1956_US_at_current_prices_in_millions_Value,1957_US_at_current_prices_in_millions_Value,1958_US_at_current_prices_in_millions_Value,1959_US_at_current_prices_in_millions_Value,1960_US_at_current_prices_in_millions_Value,1961_US_at_current_prices_in_millions_Value,1962_US_at_current_prices_in_millions_Value,1963_US_at_current_prices_in_millions_Value,1964_US_at_current_prices_in_millions_Value,1965_US_at_current_prices_in_millions_Value,1966_US_at_current_prices_in_millions_Value,1967_US_at_current_prices_in_millions_Value,1968_US_at_current_prices_in_millions_Value,1969_US_at_current_prices_in_millions_Value,1970_US_at_current_prices_in_millions_Value,1971_US_at_current_prices_in_millions_Value,1972_US_at_current_prices_in_millions_Value,1973_US_at_current_prices_in_millions_Value,1974_US_at_current_prices_in_millions_Value,1975_US_at_current_prices_in_millions_Value,1976_US_at_current_prices_in_millions_Value,1977_US_at_current_prices_in_millions_Value,1978_US_at_current_prices_in_millions_Value,1979_US_at_current_prices_in_millions_Value,1980_US_at_current_prices_in_millions_Value,1981_US_at_current_prices_in_millions_Value,1982_US_at_current_prices_in_millions_Value,1983_US_at_current_prices_in_millions_Value,1984_US_at_current_prices_in_millions_Value,1985_US_at_current_prices_in_millions_Value,1986_US_at_current_prices_in_millions_Value,1987_US_at_current_prices_in_millions_Value,1988_US_at_current_prices_in_millions_Value,1989_US_at_current_prices_in_millions_Value,1990_US_at_current_prices_in_millions_Value,1991_US_at_current_prices_in_millions_Value,1992_US_at_current_prices_in_millions_Value,1993_US_at_current_prices_in_millions_Value,1994_US_at_current_prices_in_millions_Value,1995_US_at_current_prices_in_millions_Value,1996_US_at_current_prices_in_millions_Value,1997_US_at_current_prices_in_millions_Value,1998_US_at_current_prices_in_millions_Value,1999_US_at_current_prices_in_millions_Value,2000_US_at_current_prices_in_millions_Value,2001_US_at_current_prices_in_millions_Value,2002_US_at_current_prices_in_millions_Value,2003_US_at_current_prices_in_millions_Value,2004_US_at_current_prices_in_millions_Value,2005_US_at_current_prices_in_millions_Value,2006_US_at_current_prices_in_millions_Value,2007_US_at_current_prices_in_millions_Value,2008_US_at_current_prices_in_millions_Value,2009_US_at_current_prices_in_millions_Value,2010_US_at_current_prices_in_millions_Value,2011_US_at_current_prices_in_millions_Value,2012_US_at_current_prices_in_millions_Value,2013_US_at_current_prices_in_millions_Value,2014_US_at_current_prices_in_millions_Value,2015_US_at_current_prices_in_millions_Value,2016_US_at_current_prices_in_millions_Value,2017_US_at_current_prices_in_millions_Value,2018_US_at_current_prices_in_millions_Value,2019_US_at_current_prices_in_millions_Value,2020_US_at_current_prices_in_millions_Value,2021_US_at_current_prices_in_millions_Value,2022_US_at_current_prices_in_millions_Value,2023_US_at_current_prices_in_millions_Value,2024_US_at_current_prices_in_millions_Value,2025_US_at_current_prices_in_millions_Value
"China",387,,580,1200,1120,1350,1290,1730,1560,2031,2506,2892,2648,1747,1373,1450,1710,2246,2482,2169,2068,1917,2279,2129,2851,5208,7791,7926,6660,7148,11131,15621,19941,22015,19285,21390,27410,42252,42904,43216,55268,59140,53345,63791,80600,103959,115637,132079,138943,142189,140305,165788,225024,243553,295170,412760,561229,659953,791461,956116,1132567,1005923,1396247,1743484,1818405,1949990,1959233,1679566,1587925,1843792,2135748,2078386,2065964,2679412,2706507,2556941,2583218,2582896
"China, Hong Kong SAR",523,624,663,852,661,678,601,651,799,901,804,866,1026,1045,1165,1297,1496,1569,1767,1818,2058,2458,2905,3391,3856,5655,6778,6766,8838,10446,13394,17127,22994,26136,24867,24409,30444,31195,35942,50691,70325,77662,84725,103883,127340,141308,165878,196072,201284,213297,186759,180711,214042,202008,207969,233249,272893,300160,335754,370132,392962,352241,441369,510855,553486,622277,600765,558770,546520,588913,626616,577834,569769,712358,667554,653696,704141,831832
"China, Macao SAR",21,41,41,40,40,40,40,11,13,18,20,27,30,32,38,42,48,47,51,43,50,60,65,75,104,158,134,161,161,198,249,351,544,711,719,727,795,778,879,1120,1288,1480,1539,1852,1968,2025,2001,2042,2000,2082,1955,2040,2625,2824,3009,3232,4094,4514,5236,6045,5880,4751,5629,7927,8982,10141,11262,10603,8924,9451,11162,11167,11588,19219,17338,17542,16011,15541
"China, Taiwan Province of",5,59,110,134,187,192,211,201,194,212,226,213,272,322,304,363,430,557,622,808,906,1216,1528,1849,2518,3801,6983,5959,7609,8522,11051,14794,19754,21130,18814,20315,21993,20122,24236,35094,49780,52475,54782,63053,72209,77112,85484,103558,103079,114446,105442,111449,140642,107944,113331,128130,169250,182614,202698,219252,240448,174371,251236,281438,277324,278010,281850,237219,230568,259266,286333,287164,288053,382101,435835,358960,401113,494303
"Dem. People's Rep. of Korea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1500,1500,1600,1700,1787,2104,2260,2839,2905,2930,2760,1710,1640,1260,1380,1320,1387,1013,1177,1686,1847,1894,2049,2279,2718,2880,3055,3580,3095,3530,4370,4825,4650,5585,4822,3857,3781,2621,2977,774,631,1430,2440,2340,2869
"Japan",684,905,964,1988,2023,2408,2399,2471,3230,4286,3033,3599,4491,5810,5636,6736,7938,8169,9523,11663,12988,15023,18881,19712,23863,38389,61948,57860,64895,71340,79922,109831,141296,142866,131499,126437,136176,130488,127553,151033,187378,209715,235368,236999,233247,241624,275228,335885,349152,338754,280484,309995,379510,349089,337194,382930,454542,515866,579064,622243,762534,551981,694059,855380,885843,832342,812208,648117,607728,672096,748488,720957,635460,768976,899941,787199,743498,755553
"Kazakhstan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3967,3887,3561,3807,4241,4301,4314,3655,5040,6446,6584,8409,12781,17353,23677,32756,37889,28409,31107,36906,46358,48806,41296,30568,24995,29266,32534,37757,37222,41171,50934,60655,59133,64459
"Kyrgyzstan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418,430,316,522,838,709,842,613,558,467,587,717,941,1102,1931,2789,4072,3040,3223,4261,5374,6070,5732,4070,4000,4495,5292,4989,3719,5580,9803,12518,12489,12973
"Mongolia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548,704,791,928,975,1096,1840,1105,1114,963,924,361,418,386,258,415,439,468,503,513,615,638,691,801,1021,1184,1486,2117,3616,2131,3278,6598,6738,6355,5237,3798,3358,4337,5875,6128,5299,6846,8704,9250,11615,11312
"Republic of Korea",206,139,54,76,214,345,243,341,386,442,378,304,344,316,422,560,404,463,716,996,1463,1824,1984,2394,2522,4240,6852,7274,8774,10811,14972,20339,22292,26131,24251,26192,30631,31136,31585,41020,51811,61465,69844,81525,81775,83800,102348,135119,150339,144616,93282,119752,160481,141098,152126,178827,224463,261238,309383,356846,435275,323085,425212,524413,519585,515586,525564,436499,406193,478478,535202,503343,467633,615093,731370,642572,631767,631895
"Tajikistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,463,545,810,670,750,710,663,675,688,721,881,1191,1330,1723,2455,3273,2570,2657,3206,3778,4151,4297,3436,3031,2775,3151,3349,3151,4210,5168,5880,7010,8307
"Turkmenistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543,501,1470,1365,1315,1230,980,1478,1786,2250,2120,2512,3320,2947,2560,3619,5600,6800,5700,7600,9900,10000,10000,7000,4994,4571,2379,2988,3223,4147,3456,4436,4419,4761
"Uzbekistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2862,2829,2605,2750,4710,4185,3290,3110,2697,2814,2425,2662,3392,3666,4380,6340,9277,9023,8689,10472,12034,13138,13925,11461,11328,12035,17312,21867,19932,23740,28220,35575,35238,41746
"Asia and Oceania",10242,11326,11320,16935,16753,15465,15795,17625,19141,21969,20057,21702,24930,25657,25479,28179,31727,33985,37386,40121,43238,48335,56087,60638,71032,107881,171357,180551,203313,237117,278108,354729,462271,507841,494325,482895,506111,488501,485094,571041,709918,798731,886525,968959,1064549,1152489,1304470,1588534,1687668,1714108,1463770,1576012,1919333,1797204,1917118,2288569,2903179,3386330,3906246,4531779,5498359,4409923,5708699,7004693,7336299,7501951,7500338,6504412,6187249,7034148,7802035,7589146,7084277,9136530,10182586,9557636,9964735,10630496
"Northern America and Europe",39976,39438,41828,56391,55906,56160,58515,65902,73779,80526,77132,84562,94239,98648,107239,116913,131079,143341,157629,164394,183922,210732,241635,268936,322442,435577,603201,629104,720127,815067,945448,1188641,1408436,1331514,1257385,1247460,1349977,1379987,1566512,1840310,2057068,2200660,2503400,2433983,2576301,2410173,2754030,3274272,3405684,3511062,3690525,3819213,4216579,4100313,4254999,4957460,5914426,6618054,7531663,8589839,9608027,7229793,8337136,9768747,9576884,9651989,9753439,8621200,8571017,9383596,10282335,10053626,9380442,11551418,13209191,12567191,12648196,13595759
"Europe, Northern America, Australia and New Zealand",41768,41366,43843,59341,58642,58145,61054,68845,76464,83275,79944,87297,97687,101918,110532,120592,135358,148156,162336,169273,189183,216272,247937,275512,328992,445146,618832,642956,735612,831940,964506,1211384,1436307,1363462,1289834,1274250,1382099,1411868,1598679,1876903,2100505,2254377,2554886,2484011,2629309,2465386,2819369,3349511,3485835,3591472,3767651,3902689,4302012,4177509,4342736,5065104,6047005,6769554,7697340,8786057,9842669,7420838,8569392,10049553,9876077,9933770,10033309,8866255,8803366,9652501,10561513,10317552,9629419,11862438,13572599,12904555,12991398,13953942
